timestamp_s,accel_x_mps2,accel_y_mps2,gyro_z_radps,velocity_kmh,heading_rad
0.940,4.6841,-0.0099,0.03747,43.800,0.00845
0.960,3.9263,0.3803,0.07061,44.124,0.00881
0.980,2.4308,-0.2145,0.01428,44.361,0.00918
1.000,-0.9833,0.5311,0.07011,44.425,0.00955
1.020,-1.1296,-0.1298,0.00577,44.208,0.00993
1.040,0.2677,0.3430,0.02849,44.207,0.01032
1.060,-0.1782,-0.1600,0.02582,44.325,0.01072
1.080,-0.8861,0.5706,0.02974,44.093,0.01112
1.100,1.7340,-0.3424,0.03616,44.164,0.01153
1.120,1.6670,0.2181,0.00804,44.242,0.01195
1.140,-0.6039,0.1803,0.02239,44.367,0.01238
1.160,-2.2041,-0.5536,0.07433,44.154,0.01281
1.180,-1.7876,-0.0938,0.00734,44.035,0.01325
1.200,-2.0518,0.2678,0.04317,43.956,0.01370
1.220,0.8324,-0.1771,0.03107,43.746,0.01415
1.240,1.6539,0.1629,0.04686,44.059,0.01462
1.260,-0.8176,-0.8312,0.03537,43.969,0.01509
1.280,0.3297,0.2897,0.00663,44.029,0.01557
1.300,1.2998,-0.0854,0.01384,43.982,0.01605
1.320,3.5884,-0.1367,0.05067,44.267,0.01654
1.340,2.8270,0.0024,0.05672,44.505,0.01704
1.360,-2.2004,0.0881,0.05115,44.619,0.01755
1.380,-2.6947,0.0174,0.03021,44.222,0.01807
1.400,0.7874,0.4342,0.03779,44.232,0.01859
1.420,2.3690,0.6938,0.04547,44.355,0.01912
1.440,0.0650,0.4894,0.01443,44.535,0.01966
1.460,0.9275,0.2432,0.05107,44.424,0.02020
1.480,-0.1600,0.8129,0.00216,44.752,0.02075
1.500,-1.5639,-0.1158,0.06377,44.514,0.02131
1.520,0.6553,0.1577,0.02732,44.395,0.02188
1.540,1.9191,-0.8420,0.05200,44.564,0.02245
1.560,2.4556,0.3828,0.04865,44.572,0.02303
1.580,3.2282,0.1954,0.00577,44.933,0.02362
1.600,-0.6928,0.7834,0.03670,44.967,0.02422
1.620,-1.7276,0.1249,0.02283,44.853,0.02482
1.640,-1.4562,0.0595,0.04264,44.785,0.02543
1.660,-3.0378,1.1954,0.01009,44.589,0.02605
1.680,-0.6652,0.5045,0.05610,44.359,0.02668
1.700,1.7208,0.0887,0.05861,44.472,0.02731
1.720,2.6192,-0.1959,0.03209,44.577,0.02795
1.740,0.6280,-0.1447,0.09426,44.810,0.02860
1.760,0.2818,0.8625,0.01435,44.674,0.02925
1.780,1.3138,0.4411,0.02643,44.978,0.02991
1.800,1.8713,0.6467,0.03958,44.926,0.03058
1.820,2.2418,0.5709,0.03533,45.210,0.03126
1.840,-1.4374,0.0855,0.02693,45.132,0.03194
1.860,-0.0191,0.1492,0.06364,44.999,0.03263
1.880,0.6853,0.7745,0.04326,45.044,0.03333
1.900,2.1206,0.3522,0.02695,45.230,0.03404
1.920,-0.9502,0.2573,0.03238,45.259,0.03475
1.940,-2.7784,0.2235,-0.01068,45.153,0.03547
1.960,-3.5126,0.3280,0.07803,44.912,0.03620
1.980,-0.9711,0.9222,0.02253,44.660,0.03693
2.000,1.4176,0.6510,0.04530,44.750,0.03768
2.020,1.4614,0.8402,0.04785,44.928,0.03843
2.040,-2.0926,-0.0400,0.03450,44.899,0.03918
2.060,-0.1662,0.0455,0.03060,44.705,0.03995
2.080,-0.8319,0.9282,0.02083,44.863,0.04072
2.100,-2.3745,0.5336,-0.00262,44.632,0.04150
2.120,-0.8927,0.5746,0.06237,44.504,0.04228
2.140,-2.3974,0.2928,0.05467,44.616,0.04307
2.160,-2.7989,0.9911,0.03076,44.210,0.04387
2.180,0.1478,0.6037,0.04914,44.280,0.04468
2.200,-1.4586,0.2896,0.03930,44.175,0.04550
2.220,0.7608,0.3197,0.03700,44.195,0.04632
2.240,-0.0216,0.3766,0.04207,44.181,0.04715
2.260,1.2202,0.8942,0.06930,44.218,0.04798
2.280,-1.0745,0.7423,0.05291,44.343,0.04883
2.300,0.5323,0.7597,0.02597,44.206,0.04968
2.320,3.0386,1.3996,0.06466,44.462,0.05054
2.340,2.5822,0.7947,0.03377,44.593,0.05140
2.360,2.1325,0.6816,0.06140,44.745,0.05227
2.380,2.9109,0.9310,0.06126,44.954,0.05315
2.400,2.1265,0.8805,-0.01266,45.096,0.05404
2.420,1.4237,-0.0670,0.05519,45.248,0.05493
2.440,-1.7530,0.0351,0.03577,45.262,0.05583
2.460,-1.3255,0.7389,0.04721,45.005,0.05674
2.480,-1.7949,0.8270,0.08901,44.980,0.05766
2.500,-2.4624,0.2871,0.06114,44.842,0.05858
2.520,-0.8222,0.2876,0.05150,44.586,0.05951
2.540,-0.0644,0.0046,0.01124,44.632,0.06045
2.560,-2.0947,0.4923,0.08510,44.530,0.06139
2.580,-2.3656,0.5279,0.05090,44.345,0.06234
2.600,-0.8491,0.7678,0.07382,44.157,0.06330
2.620,0.6839,0.4578,0.05428,44.205,0.06426
2.640,2.5356,0.4803,0.04563,44.270,0.06524
2.660,2.1791,1.0794,0.02309,44.508,0.06621
2.680,0.7466,0.6234,0.06356,44.505,0.06720
2.700,3.7992,0.8419,0.03538,44.693,0.06819
2.720,3.2103,0.1656,0.07872,44.945,0.06919
2.740,-1.5776,0.3015,0.08539,45.152,0.07020
2.760,-1.0419,1.0303,0.03542,44.727,0.07122
2.780,1.6523,1.2839,0.03114,44.948,0.07224
2.800,1.1417,0.5830,0.03288,45.009,0.07327
2.820,0.8617,0.8822,0.04207,45.085,0.07430
2.840,0.9264,0.7230,0.05524,45.152,0.07535
2.860,1.0296,1.5289,0.04039,45.221,0.07640
2.880,-0.0423,-0.3912,0.01733,45.278,0.07745
2.900,-2.9507,0.3843,0.06126,45.214,0.07852
2.920,-2.0266,-0.8689,0.02894,44.871,0.07959
2.940,-0.9118,0.8479,0.03547,44.852,0.08066
2.960,0.5387,1.3033,0.05547,44.707,0.08175
2.980,1.3335,0.6878,0.03181,44.902,0.08284
3.000,-1.0990,0.6945,0.06378,44.850,0.08394
3.020,-0.5991,0.7811,0.07310,44.865,0.08505
3.040,-0.7809,0.9949,0.07120,44.712,0.08616
3.060,-1.0747,-0.2454,0.07921,44.620,0.08728
3.080,-0.8683,0.3621,0.08469,44.618,0.08841
3.100,-2.2038,0.6640,0.05978,44.350,0.08954
3.120,-0.0506,0.5408,0.05142,44.404,0.09068
3.140,-1.3531,0.2630,0.04029,44.385,0.09183
3.160,-4.7155,-0.1001,0.08321,44.172,0.09298
3.180,-2.7190,0.3415,0.03324,43.740,0.09414
3.200,0.3116,0.7997,0.08221,43.833,0.09531
3.220,-0.8738,1.0485,0.04736,43.779,0.09649
3.240,-0.6235,0.6332,0.06380,43.684,0.09767
3.260,1.8353,0.5240,0.07108,43.641,0.09886
3.280,1.3630,0.9681,0.03143,43.968,0.10005
3.300,0.2504,1.1322,0.08038,43.959,0.10126
3.320,-1.2487,0.3090,0.05232,43.975,0.10247
3.340,-0.0124,0.6980,0.04683,43.707,0.10368
3.360,3.4747,1.3600,0.05705,44.004,0.10490
3.380,1.8911,0.7392,0.06815,44.169,0.10613
3.400,1.0646,0.8179,0.08401,44.361,0.10737
3.420,0.6903,0.8764,0.08852,44.369,0.10862
3.440,1.6033,1.1205,0.07428,44.534,0.10987
3.460,0.7173,0.1027,0.05921,44.601,0.11112
3.480,1.1970,0.9135,0.06481,44.711,0.11239
3.500,-1.8540,0.3565,0.06960,44.684,0.11366
3.520,-0.5763,0.6601,0.04859,44.419,0.11494
3.540,-0.8806,1.0259,0.05944,44.604,0.11622
3.560,-2.2325,0.6638,0.06749,44.256,0.11751
3.580,-0.4409,1.5962,0.00192,44.212,0.11881
3.600,-1.9286,0.7834,0.06612,44.176,0.12012
3.620,-0.5459,-0.0765,0.05568,43.988,0.12143
3.640,0.2886,0.5922,0.09649,44.098,0.12275
3.660,-0.6255,0.8294,0.08305,44.062,0.12407
3.680,-0.1042,0.8330,0.03712,43.984,0.12540
3.700,0.0284,1.2938,0.07882,44.077,0.12674
3.720,1.4956,0.1971,0.02794,43.991,0.12809
3.740,1.7806,1.2460,0.10335,44.241,0.12944
3.760,-0.2705,0.8312,0.05377,44.305,0.13080
3.780,-3.1507,0.4882,0.07056,44.219,0.13216
3.800,-4.3344,0.1840,0.09493,43.869,0.13353
3.820,0.6867,0.6631,0.06085,43.634,0.13491
3.840,1.6864,0.4075,0.06610,43.830,0.13630
3.860,-0.7432,1.4754,0.05286,43.820,0.13769
3.880,1.3582,0.6648,0.09906,43.770,0.13909
3.900,0.5129,1.2806,0.11406,44.065,0.14049
3.920,-1.8773,0.4085,0.07636,43.834,0.14191
3.940,-1.4236,0.5697,0.06382,43.729,0.14332
3.960,0.4065,1.5980,0.07901,43.644,0.14475
3.980,-0.8710,0.7382,0.07283,43.749,0.14618
4.000,-1.4956,1.0581,0.08571,43.630,0.14762
4.020,-2.2921,0.3758,0.08193,43.520,0.14906
4.040,-1.0990,0.9083,0.08850,43.231,0.15052
4.060,1.5598,0.9736,0.08421,43.362,0.15197
4.080,0.7667,0.4997,0.06620,43.507,0.15344
4.100,-0.8673,0.5021,0.04673,43.421,0.15491
4.120,-1.5961,0.9515,0.06078,43.451,0.15639
4.140,-2.0231,0.6905,0.07827,43.218,0.15787
4.160,0.6626,1.1754,0.09906,43.133,0.15936
4.180,2.8337,1.0840,0.06926,43.381,0.16086
4.200,2.8441,1.4555,0.09131,43.406,0.16236
4.220,0.9742,1.5415,0.06443,43.821,0.16387
4.240,0.0843,0.9152,0.07103,43.680,0.16539
4.260,0.5153,1.0473,0.07892,43.784,0.16691
4.280,0.3353,0.4081,0.11040,43.749,0.16844
4.300,0.7769,0.7637,0.07816,43.851,0.16998
4.320,-0.5533,0.5020,0.09268,43.850,0.17152
4.340,-1.9121,0.2399,0.07841,43.749,0.17307
4.360,2.8688,1.4844,0.07808,43.592,0.17462
4.380,3.7202,2.2877,0.11088,44.144,0.17619
4.400,-2.3116,0.9906,0.10018,44.130,0.17775
4.420,-3.5900,0.5395,0.03834,43.767,0.17933
4.440,-0.2379,0.5321,0.10528,43.651,0.18091
4.460,0.3483,1.2012,0.08593,43.773,0.18250
4.480,1.2130,1.7783,0.06195,43.683,0.18409
4.500,2.7660,1.0425,0.08245,43.928,0.18569
4.520,0.9524,0.8166,0.07915,44.108,0.18730
4.540,-0.5179,-0.2538,0.08191,44.081,0.18891
4.560,-2.2881,-0.0240,0.10411,43.996,0.19053
4.580,-2.7087,1.3145,0.06945,43.815,0.19215
4.600,-2.4858,1.1992,0.08992,43.689,0.19378
4.620,-0.3159,1.2032,0.09522,43.424,0.19542
4.640,3.0013,1.7987,0.08059,43.640,0.19707
4.660,0.1497,0.8167,0.07445,43.927,0.19872
4.680,-3.4387,0.6911,0.10996,43.701,0.20037
4.700,-3.9715,0.1423,0.10340,43.488,0.20204
4.720,-2.9673,1.0606,0.10805,43.169,0.20371
4.740,-5.1128,0.3058,0.08886,42.996,0.20538
4.760,-5.7958,0.2740,0.11259,42.437,0.20706
4.780,0.2434,1.0569,0.12302,42.231,0.20875
4.800,1.2164,0.9475,0.08109,42.465,0.21044
4.820,0.4362,1.5724,0.08063,42.402,0.21214
4.840,0.2559,0.8956,0.11619,42.556,0.21385
4.860,1.5876,0.7773,0.09995,42.468,0.21556
4.880,2.5309,1.9938,0.11687,42.785,0.21728
4.900,-0.4347,1.2567,0.10388,42.821,0.21901
4.920,2.2448,1.5794,0.09588,42.752,0.22074
4.940,2.4464,1.7949,0.09518,43.212,0.22247
4.960,-1.6738,1.5928,0.08834,43.153,0.22422
4.980,-1.1170,-0.2312,0.10151,42.934,0.22597
5.000,-0.1565,1.0096,0.09062,42.970,0.22772
5.020,2.1971,1.4700,0.08003,42.963,0.22948
5.040,0.9884,0.9312,0.12332,43.155,0.23125
5.060,-0.7589,0.6442,0.08770,42.989,0.23302
5.080,2.2285,2.1035,0.10665,43.134,0.23480
5.100,-0.3749,1.9931,0.06888,43.287,0.23659
5.120,-0.7996,1.2712,0.08927,43.167,0.23838
5.140,-0.3953,1.3481,0.08464,43.196,0.24018
5.160,1.9377,1.2051,0.07963,43.047,0.24198
5.180,1.3014,1.4198,0.09697,43.469,0.24379
5.200,-1.4123,0.8322,0.11366,43.342,0.24561
5.220,-3.0401,0.9099,0.09772,43.261,0.24743
5.240,-2.5654,0.4965,0.12528,43.069,0.24926
5.260,-0.6348,1.4719,0.10035,43.007,0.25109
5.280,0.3660,1.4305,0.09006,43.006,0.25293
5.300,0.5929,1.4559,0.11159,43.144,0.25477
5.320,-1.1409,1.4348,0.08660,43.034,0.25663
5.340,-1.6585,0.7843,0.07303,43.001,0.25848
5.360,-2.8988,-0.0293,0.10935,42.746,0.26035
5.380,2.1567,1.1857,0.07453,42.597,0.26221
5.400,4.4086,2.0512,0.08880,43.093,0.26409
5.420,0.8535,1.1108,0.07012,43.280,0.26597
5.440,-2.1563,0.3410,0.10980,43.139,0.26786
5.460,-3.4852,0.1192,0.07341,42.899,0.26975
5.480,-1.5581,0.8425,0.11526,42.723,0.27165
5.500,0.4344,1.1067,0.10070,42.719,0.27355
5.520,-1.7141,1.0460,0.07680,42.725,0.27546
5.540,-1.9664,0.1902,0.07425,42.591,0.27737
5.560,0.1531,1.5668,0.09390,42.360,0.27930
5.580,1.5760,0.8022,0.11369,42.616,0.28122
5.600,-1.0663,1.2352,0.11378,42.697,0.28316
5.620,-0.9634,0.8990,0.14997,42.630,0.28509
5.640,-0.4780,1.0486,0.14765,42.590,0.28704
5.660,-4.3353,0.5497,0.09686,42.495,0.28899
5.680,-3.4352,0.4291,0.10442,41.966,0.29094
5.700,-1.2279,0.8073,0.07644,41.987,0.29290
5.720,-2.8603,0.1460,0.08860,41.794,0.29487
5.740,-2.0892,0.7321,0.07746,41.614,0.29684
5.760,-0.4283,1.0120,0.10892,41.499,0.29882
5.780,-1.0414,0.7291,0.10220,41.630,0.30081
5.800,-3.7689,0.5610,0.12585,41.420,0.30280
5.820,-1.3912,0.8792,0.11332,41.162,0.30479
5.840,1.2146,1.7587,0.08537,41.277,0.30679
5.860,-0.4688,0.9996,0.10369,41.413,0.30880
5.880,-0.9142,0.5882,0.07447,41.240,0.31081
5.900,-0.6472,0.3615,0.11037,41.341,0.31283
5.920,-0.7409,1.2816,0.10806,41.289,0.31485
5.940,-1.5592,0.9748,0.08138,41.343,0.31688
5.960,-0.6128,1.0032,0.11677,41.116,0.31891
5.980,1.9799,1.4560,0.11768,41.266,0.32095
6.000,2.0138,1.6307,0.14378,41.482,0.32300
6.020,0.4718,1.5479,0.09454,41.597,0.32505
6.040,-3.6582,-0.7784,0.11787,41.698,0.32710
6.060,-4.6719,-0.3845,0.10955,41.019,0.32916
6.080,-0.3780,1.2618,0.14568,41.066,0.33123
6.100,-0.5253,1.0126,0.13335,41.061,0.33330
6.120,-1.0774,0.2960,0.12355,41.035,0.33538
6.140,-1.1119,0.7209,0.11836,40.921,0.33746
6.160,0.4688,1.0076,0.10012,40.931,0.33955
6.180,-0.8812,0.6510,0.09726,41.005,0.34165
6.200,-1.2485,0.2489,0.08071,40.958,0.34374
6.220,0.8887,1.3926,0.09615,40.874,0.34585
6.240,-0.0210,0.8509,0.11023,41.096,0.34796
6.260,-0.5663,1.8854,0.11241,40.897,0.35007
6.280,1.1792,1.6721,0.10728,41.082,0.35219
6.300,-0.4037,0.9489,0.14816,41.114,0.35432
6.320,-2.1078,0.6140,0.13074,40.969,0.35645
6.340,-1.6875,0.3142,0.07908,40.917,0.35859
6.360,-0.6158,1.3228,0.10459,40.751,0.36073
6.380,1.0918,1.7738,0.12892,40.873,0.36288
6.400,-1.0868,1.2611,0.11970,40.935,0.36503
6.420,-1.6840,0.5354,0.12233,40.835,0.36719
6.440,-0.9770,0.0350,0.09697,40.637,0.36935
6.460,1.9981,1.9145,0.11428,40.691,0.37152
6.480,0.6143,1.4118,0.17083,40.863,0.37369
6.500,-0.2913,1.2720,0.11003,40.843,0.37587
6.520,-1.0773,1.5327,0.10483,40.918,0.37805
6.540,-0.9586,0.8687,0.10794,40.851,0.38024
6.560,-1.1817,0.5166,0.10887,40.863,0.38243
6.580,-1.2200,1.3152,0.14378,40.810,0.38463
6.600,-2.1743,1.3793,0.10474,40.863,0.38683
6.620,-1.5309,0.2084,0.13387,40.592,0.38904
6.640,-0.0150,1.4577,0.12348,40.707,0.39126
6.660,0.7508,1.0462,0.10448,40.666,0.39347
6.680,0.2101,1.6340,0.09617,40.731,0.39570
6.700,-0.3837,1.1259,0.10353,40.669,0.39793
6.720,-1.0190,0.2461,0.13154,40.727,0.40016
6.740,-0.4634,0.3814,0.09664,40.534,0.40240
6.760,-1.2039,1.4568,0.18696,40.748,0.40464
6.780,-3.4003,-0.2323,0.13600,40.441,0.40689
6.800,-1.4194,0.4320,0.13390,40.254,0.40915
6.820,2.1289,1.9090,0.14104,40.297,0.41141
6.840,1.8318,2.0100,0.12447,40.560,0.41367
6.860,-0.8463,0.8332,0.13827,40.610,0.41594
6.880,-2.9765,0.2000,0.11977,40.565,0.41821
6.900,-2.2535,0.6038,0.14685,40.309,0.42049
6.920,-0.2337,0.5262,0.08122,40.275,0.42277
6.940,1.0040,2.4352,0.12209,40.271,0.42506
6.960,1.7742,2.0895,0.09376,40.575,0.42735
6.980,-0.5585,0.7729,0.10494,40.687,0.42965
7.000,0.0811,2.0076,0.14062,40.412,0.43195
7.020,1.2204,1.6011,0.13539,40.777,0.43426
7.040,-0.9510,0.4682,0.11004,40.706,0.43657
7.060,0.0482,1.6521,0.11004,40.547,0.43889
7.080,0.6485,2.2883,0.10649,40.813,0.44121
7.100,-0.9535,0.6126,0.12333,40.804,0.44354
7.120,-1.1872,1.6621,0.11672,40.738,0.44587
7.140,0.0395,0.9656,0.09443,40.777,0.44821
7.160,1.9244,2.2637,0.11434,40.929,0.45055
7.180,-1.1855,0.5299,0.13545,41.108,0.45289
7.200,0.3549,1.4544,0.12392,40.861,0.45524
7.220,2.3152,3.1206,0.13099,41.220,0.45760
7.240,-0.0112,1.3934,0.12010,41.391,0.45996
7.260,-2.3870,0.9235,0.13436,41.322,0.46232
7.280,-2.9324,0.2589,0.09792,41.175,0.46469
7.300,-0.8038,0.9626,0.10337,41.001,0.46706
7.320,-0.8471,1.0888,0.11079,41.023,0.46944
7.340,-1.8658,-0.4752,0.14693,40.906,0.47182
7.360,-0.5265,1.8552,0.14413,40.769,0.47421
7.380,0.5938,1.2414,0.13146,40.915,0.47660
7.400,-0.6217,1.2503,0.13826,40.980,0.47900
7.420,-0.3793,1.5103,0.13256,40.909,0.48140
7.440,1.9429,1.7439,0.17979,41.041,0.48380
7.460,-0.3285,1.2454,0.12148,41.287,0.48621
7.480,-2.3925,-0.0361,0.16238,41.090,0.48862
7.500,0.8432,1.0401,0.12968,40.982,0.49104
7.520,1.2221,2.2965,0.13130,41.152,0.49347
7.540,-0.0072,1.8483,0.11019,41.281,0.49589
7.560,1.5440,2.0620,0.12127,41.322,0.49832
7.580,-0.9527,1.3260,0.14097,41.531,0.50076
7.600,-3.8509,-0.8933,0.10450,41.335,0.50320
7.620,-2.4670,-0.0618,0.12037,41.069,0.50564
7.640,-1.2628,0.2630,0.12583,40.913,0.50809
7.660,-1.7688,0.6051,0.11595,40.935,0.51055
7.680,-1.9916,0.1766,0.14432,40.792,0.51300
7.700,-1.6590,-0.2763,0.14406,40.704,0.51547
7.720,-2.7328,0.4204,0.12611,40.528,0.51793
7.740,-2.3155,0.7959,0.14059,40.417,0.52040
7.760,-0.3554,0.6457,0.14319,40.236,0.52288
7.780,0.5595,2.1791,0.12642,40.302,0.52536
7.800,-0.9784,1.0584,0.10121,40.445,0.52784
7.820,-1.5491,0.9610,0.16689,40.359,0.53033
7.840,-1.6188,1.3322,0.10818,40.321,0.53282
7.860,-0.9243,1.4440,0.15045,40.217,0.53531
7.880,-2.1274,2.7844,0.17503,40.312,0.53781
7.900,1.2150,2.3015,0.14494,40.328,0.54032
7.920,-0.1264,1.3530,0.16568,40.615,0.54283
7.940,-1.2431,0.5958,0.12401,40.418,0.54534
7.960,0.2371,2.4656,0.13434,40.483,0.54785
7.980,-1.3734,1.0109,0.16188,40.563,0.55037
8.000,-0.1880,1.0190,0.11898,40.498,0.55290
8.020,-1.3857,0.8858,0.11195,40.604,0.55543
8.040,0.1715,1.2928,0.13193,40.345,0.55796
8.060,0.4109,1.2565,0.13832,40.726,0.56050
8.080,-0.7148,0.0754,0.13595,40.484,0.56304
8.100,-0.3722,0.5172,0.11992,40.650,0.56558
8.120,-1.3320,0.9461,0.14894,40.448,0.56813
8.140,-0.2229,1.4272,0.13186,40.655,0.57068
8.160,-1.3775,1.2115,0.10499,40.586,0.57324
8.180,-0.6968,1.3973,0.12475,40.615,0.57580
8.200,0.6121,2.5686,0.13915,40.624,0.57836
8.220,-0.6471,1.9298,0.14386,40.822,0.58093
8.240,-3.9113,-1.2047,0.15939,40.764,0.58350
8.260,-5.2377,-1.3576,0.11637,40.230,0.58608
8.280,-1.7465,1.6566,0.11095,40.094,0.58866
8.300,-1.5064,1.0685,0.14197,40.127,0.59124
8.320,-4.5335,3.2115,0.10614,40.047,0.59383
8.340,1.2113,2.9899,0.13171,40.186,0.59642
8.360,-0.6962,1.5754,0.12907,40.369,0.59901
8.380,-1.8350,0.3357,0.15505,40.342,0.60161
8.400,-1.2734,1.2871,0.14587,40.074,0.60422
8.420,2.6166,2.8020,0.15090,40.323,0.60682
8.440,-0.6008,2.3266,0.11841,40.518,0.60943
8.460,1.3974,2.1379,0.10272,40.464,0.61204
8.480,1.2224,2.3401,0.14325,40.844,0.61466
8.500,-2.4162,-0.0218,0.14447,40.781,0.61728
8.520,-2.7000,-0.2909,0.17559,40.576,0.61991
8.540,-0.0670,2.2861,0.13189,40.548,0.62253
8.560,-0.1601,1.1893,0.10751,40.742,0.62517
8.580,0.5404,1.4300,0.13103,40.573,0.62780
8.600,0.5798,1.7024,0.15835,40.925,0.63044
8.620,-0.1840,0.9158,0.13116,40.763,0.63308
8.640,0.8593,2.8542,0.12179,40.935,0.63573
8.660,-0.4818,1.7268,0.13235,41.033,0.63838
8.680,0.4208,2.3635,0.15446,41.005,0.64103
8.700,-0.9980,0.9494,0.11322,41.200,0.64369
8.720,-0.4578,1.2612,0.11364,40.930,0.64635
8.740,0.6113,1.7917,0.15072,41.174,0.64901
8.760,-1.2322,0.9968,0.17693,41.163,0.65168
8.780,-0.2702,1.1960,0.13428,41.065,0.65435
8.800,0.9050,2.7620,0.16403,41.200,0.65702
8.820,0.4803,2.5347,0.11933,41.391,0.65970
8.840,1.8117,2.8948,0.12704,41.529,0.66238
8.860,2.1572,4.1874,0.10740,41.889,0.66506
8.880,1.8480,2.8809,0.14982,42.084,0.66775
8.900,0.0604,2.6459,0.12617,42.315,0.67044
8.920,-1.5604,0.9383,0.15172,42.218,0.67313
8.940,-0.1958,1.7756,0.15823,42.237,0.67583
8.960,-0.5347,1.8796,0.13648,42.338,0.67853
8.980,-0.8743,1.7155,0.15936,42.335,0.68123
9.000,0.0730,2.0614,0.11665,42.389,0.68394
9.020,-0.1545,2.2404,0.17432,42.466,0.68665
9.040,0.1718,2.0182,0.12398,42.618,0.68936
9.060,-1.5473,0.5620,0.13407,42.600,0.69208
9.080,-1.9366,-0.2106,0.13001,42.537,0.69480
9.100,-2.7879,0.5349,0.14274,42.388,0.69752
9.120,-0.9819,1.6636,0.12366,42.227,0.70025
9.140,-0.2022,2.1147,0.15756,42.438,0.70298
9.160,0.0098,1.1768,0.14660,42.423,0.70571
9.180,-2.1616,1.3042,0.20201,42.564,0.70845
9.200,-4.0169,-1.4421,0.15352,42.331,0.71118
9.220,-4.0789,-1.7814,0.15152,41.982,0.71393
9.240,-1.1128,1.1289,0.16689,41.793,0.71667
9.260,1.8052,3.3188,0.12868,42.000,0.71942
9.280,0.0186,2.4395,0.12841,42.192,0.72217
9.300,-1.7541,1.2654,0.13623,42.252,0.72492
9.320,-2.5138,-0.9483,0.09236,42.107,0.72768
9.340,-2.1733,1.2721,0.15179,42.084,0.73044
9.360,-1.7231,0.4189,0.12339,42.030,0.73320
9.380,-3.9431,-1.0791,0.17204,41.968,0.73596
9.400,-3.8616,-1.8012,0.11464,41.517,0.73873
9.420,-1.9123,0.4911,0.14417,41.363,0.74150
9.440,-0.1777,2.5669,0.08659,41.328,0.74428
9.460,1.0881,3.0123,0.09284,41.601,0.74705
9.480,0.8195,2.5639,0.15948,41.630,0.74983
9.500,-0.1261,2.3134,0.15824,41.882,0.75262
9.520,-1.3345,0.7990,0.12722,41.811,0.75540
9.540,-4.1371,-2.6870,0.15776,41.766,0.75819
9.560,-4.0115,-1.8377,0.15178,41.064,0.76098
9.580,-0.3615,2.4729,0.18522,41.147,0.76377
9.600,1.0629,2.3053,0.12991,41.246,0.76657
9.620,0.1471,2.8397,0.14174,41.563,0.76937
9.640,-1.3185,0.7357,0.15719,41.476,0.77217
