timestamp_s,x_m,y_m,speed_kmh,heading_rad
5.540,67.1912,6.3214,42.591,0.27737
5.560,67.4174,6.3863,42.360,0.27930
5.580,67.6449,6.4520,42.616,0.28122
5.600,67.8727,6.5183,42.697,0.28316
5.620,68.0999,6.5849,42.630,0.28509
5.640,68.3269,6.6519,42.590,0.28704
5.660,68.5532,6.7192,42.495,0.28899
5.680,68.7765,6.7860,41.966,0.29094
5.700,68.9998,6.8534,41.987,0.29290
5.720,69.2220,6.9209,41.794,0.29487
5.740,69.4431,6.9885,41.614,0.29684
5.760,69.6634,7.0564,41.499,0.29882
5.780,69.8843,7.1249,41.630,0.30081
5.800,70.1039,7.1935,41.420,0.30280
5.820,70.3221,7.2621,41.162,0.30479
5.840,70.5407,7.3314,41.277,0.30679
5.860,70.7599,7.4013,41.413,0.30880
5.880,70.9780,7.4714,41.240,0.31081
5.900,71.1965,7.5421,41.341,0.31283
5.920,71.4146,7.6131,41.289,0.31485
5.940,71.6329,7.6847,41.343,0.31688
5.960,71.8498,7.7563,41.116,0.31891
5.980,72.0673,7.8286,41.266,0.32095
6.000,72.2859,7.9017,41.482,0.32300
6.020,72.5049,7.9755,41.597,0.32505
6.040,72.7242,8.0500,41.698,0.32710
6.060,72.9399,8.1236,41.019,0.32916
6.080,73.1556,8.1978,41.066,0.33123
6.100,73.3712,8.2725,41.061,0.33330
6.120,73.5865,8.3475,41.035,0.33538
6.140,73.8010,8.4228,40.921,0.33746
6.160,74.0154,8.4985,40.931,0.33955
6.180,74.2300,8.5748,41.005,0.34165
6.200,74.4443,8.6515,40.958,0.34374
6.220,74.6579,8.7285,40.874,0.34585
6.240,74.8725,8.8063,41.096,0.34796
6.260,75.0859,8.8843,40.897,0.35007
6.280,75.3002,8.9630,41.082,0.35219
6.300,75.5144,9.0422,41.114,0.35432
6.320,75.7277,9.1217,40.969,0.35645
6.340,75.9405,9.2014,40.917,0.35859
6.360,76.1524,9.2813,40.751,0.36073
6.380,76.3647,9.3620,40.873,0.36288
6.400,76.5771,9.4431,40.935,0.36503
6.420,76.7888,9.5246,40.835,0.36719
6.440,76.9994,9.6061,40.637,0.36935
6.460,77.2100,9.6881,40.691,0.37152
6.480,77.4214,9.7710,40.863,0.37369
6.500,77.6324,9.8543,40.843,0.37587
6.520,77.8437,9.9382,40.918,0.37805
6.540,78.0544,10.0224,40.851,0.38024
6.560,78.2651,10.1072,40.863,0.38243
6.580,78.4752,10.1922,40.810,0.38463
6.600,78.6855,10.2779,40.863,0.38683
6.620,78.8941,10.3634,40.592,0.38904
6.640,79.1032,10.4497,40.707,0.39126
6.660,79.3118,10.5363,40.666,0.39347
6.680,79.5206,10.6235,40.731,0.39570
6.700,79.7289,10.7111,40.669,0.39793
6.720,79.9373,10.7992,40.727,0.40016
6.740,80.1445,10.8874,40.534,0.40240
6.760,80.3526,10.9765,40.748,0.40464
6.780,80.5589,11.0654,40.441,0.40689
6.800,80.7641,11.1544,40.254,0.40915
6.820,80.9693,11.2439,40.297,0.41141
6.840,81.1756,11.3345,40.560,0.41367
6.860,81.3820,11.4257,40.610,0.41594
6.880,81.5879,11.5172,40.565,0.41821
6.900,81.7924,11.6086,40.309,0.42049
6.920,81.9964,11.7004,40.275,0.42277
6.940,82.2002,11.7927,40.271,0.42506
6.960,82.4054,11.8861,40.575,0.42735
6.980,82.6109,11.9802,40.687,0.42965
7.000,82.8148,12.0742,40.412,0.43195
7.020,83.0203,12.1695,40.777,0.43426
7.040,83.2252,12.2652,40.706,0.43657
7.060,83.4291,12.3609,40.547,0.43889
7.080,83.6342,12.4577,40.813,0.44121
7.100,83.8389,12.5550,40.804,0.44354
7.120,84.0431,12.6526,40.738,0.44587
7.140,84.2473,12.7508,40.777,0.44821
7.160,84.4520,12.8498,40.929,0.45055
7.180,84.6573,12.9497,41.108,0.45289
7.200,84.8612,13.0495,40.861,0.45524
7.220,85.0666,13.1507,41.220,0.45760
7.240,85.2727,13.2528,41.391,0.45996
7.260,85.4782,13.3552,41.322,0.46232
7.280,85.6827,13.4577,41.175,0.46469
7.300,85.8860,13.5602,41.001,0.46706
7.320,86.0893,13.6633,41.023,0.46944
7.340,86.2917,13.7666,40.906,0.47182
7.360,86.4932,13.8701,40.769,0.47421
7.380,86.6952,13.9743,40.915,0.47660
7.400,86.8972,14.0793,40.980,0.47900
7.420,87.0987,14.1845,40.909,0.48140
7.440,87.3005,14.2906,41.041,0.48380
7.460,87.5033,14.3977,41.287,0.48621
7.480,87.7049,14.5049,41.090,0.48862
7.500,87.9056,14.6123,40.982,0.49104
7.520,88.1070,14.7205,41.152,0.49347
7.540,88.3087,14.8297,41.281,0.49589
7.560,88.5104,14.9394,41.322,0.49832
7.580,88.7128,15.0502,41.531,0.50076
7.600,88.9139,15.1609,41.335,0.50320
7.620,89.1135,15.2714,41.069,0.50564
7.640,89.3121,15.3820,40.913,0.50809
7.660,89.5105,15.4931,40.935,0.51055
7.680,89.7080,15.6044,40.792,0.51300
7.700,89.9047,15.7158,40.704,0.51547
7.720,90.1004,15.8273,40.528,0.51793
7.740,90.2952,15.9389,40.417,0.52040
7.760,90.4888,16.0506,40.236,0.52288
7.780,90.6825,16.1629,40.302,0.52536
7.800,90.8767,16.2760,40.445,0.52784
7.820,91.0701,16.3894,40.359,0.53033
7.840,91.2630,16.5032,40.321,0.53282
7.860,91.4552,16.6172,40.217,0.53531
7.880,91.6475,16.7319,40.312,0.53781
7.900,91.8397,16.8472,40.328,0.54032
7.920,92.0329,16.9637,40.615,0.54283
7.940,92.2249,17.0802,40.418,0.54534
7.960,92.4168,17.1974,40.483,0.54785
7.980,92.6089,17.3152,40.563,0.55037
8.000,92.8004,17.4334,40.498,0.55290
8.020,92.9921,17.5523,40.604,0.55543
8.040,93.1822,17.6710,40.345,0.55796
8.060,93.3738,17.7913,40.726,0.56050
8.080,93.5640,17.9113,40.484,0.56304
8.100,93.7547,18.0323,40.650,0.56558
8.120,93.9441,18.1532,40.448,0.56813
8.140,94.1342,18.2753,40.655,0.57068
8.160,94.3236,18.3975,40.586,0.57324
8.180,94.5129,18.5204,40.615,0.57580
8.200,94.7019,18.6438,40.624,0.57836
8.220,94.8914,18.7682,40.822,0.58093
8.240,95.0804,18.8930,40.764,0.58350
8.260,95.2666,19.0166,40.230,0.58608
8.280,95.4519,19.1403,40.094,0.58866
8.300,95.6370,19.2646,40.127,0.59124
8.320,95.8214,19.3891,40.047,0.59383
8.340,96.0061,19.5145,40.186,0.59642
8.360,96.1913,19.6409,40.369,0.59901
8.380,96.3761,19.7678,40.342,0.60161
8.400,96.5593,19.8942,40.074,0.60422
8.420,96.7433,20.0220,40.323,0.60682
8.440,96.9279,20.1508,40.518,0.60943
8.460,97.1119,20.2800,40.464,0.61204
8.480,97.2973,20.4108,40.844,0.61466
8.500,97.4820,20.5420,40.781,0.61728
8.520,97.6655,20.6729,40.576,0.61991
8.540,97.8485,20.8043,40.548,0.62253
8.560,98.0320,20.9368,40.742,0.62517
8.580,98.2145,21.0692,40.573,0.62780
8.600,98.3981,21.2032,40.925,0.63044
8.620,98.5807,21.3372,40.763,0.63308
8.640,98.7637,21.4722,40.935,0.63573
8.660,98.9467,21.6080,41.033,0.63838
8.680,99.1293,21.7443,41.005,0.64103
8.700,99.3124,21.8816,41.200,0.64369
8.720,99.4939,22.0186,40.930,0.64635
8.740,99.6762,22.1568,41.174,0.64901
8.760,99.8580,22.2955,41.163,0.65168
8.780,100.0390,22.4344,41.065,0.65435
8.800,100.2202,22.5742,41.200,0.65702
8.820,100.4019,22.7151,41.391,0.65970
8.840,100.5839,22.8570,41.529,0.66238
8.860,100.7670,23.0006,41.889,0.66506
8.880,100.9506,23.1454,42.084,0.66775
8.900,101.1348,23.2915,42.315,0.67044
8.920,101.3182,23.4377,42.218,0.67313
8.940,101.5012,23.5845,42.237,0.67583
8.960,101.6843,23.7321,42.338,0.67853
8.980,101.8670,23.8802,42.335,0.68123
9.000,102.0496,24.0290,42.389,0.68394
9.020,102.2320,24.1786,42.466,0.68665
9.040,102.4147,24.3292,42.618,0.68936
9.060,102.5969,24.4802,42.600,0.69208
9.080,102.7785,24.6315,42.537,0.69480
9.100,102.9589,24.7828,42.388,0.69752
9.120,103.1383,24.9339,42.227,0.70025
9.140,103.3182,25.0863,42.438,0.70298
9.160,103.4976,25.2392,42.423,0.70571
9.180,103.6772,25.3931,42.564,0.70845
9.200,103.8553,25.5466,42.331,0.71118
9.220,104.0316,25.6993,41.982,0.71393
9.240,104.2067,25.8518,41.793,0.71667
9.260,104.3822,26.0056,42.000,0.71942
9.280,104.5581,26.1605,42.192,0.72217
9.300,104.7338,26.3161,42.252,0.72492
9.320,104.9085,26.4717,42.107,0.72768
9.340,105.0826,26.6277,42.084,0.73044
9.360,105.2561,26.7840,42.030,0.73320
9.380,105.4289,26.9405,41.968,0.73596
9.400,105.5994,27.0958,41.517,0.73873
9.420,105.7689,27.2510,41.363,0.74150
9.440,105.9378,27.4066,41.328,0.74428
9.460,106.1074,27.5636,41.601,0.74705
9.480,106.2766,27.7212,41.630,0.74983
9.500,106.4465,27.8803,41.882,0.75262
9.520,106.6156,28.0395,41.811,0.75540
9.540,106.7840,28.1991,41.766,0.75819
9.560,106.9492,28.3564,41.064,0.76098
9.580,107.1143,28.5145,41.147,0.76377
9.600,107.2794,28.6735,41.246,0.76657
9.620,107.4453,28.8341,41.563,0.76937
9.640,107.6103,28.9949,41.476,0.77217
9.660,107.7750,29.1562,41.493,0.77497
9.680,107.9388,29.3174,41.366,0.77778
9.700,108.1012,29.4783,41.154,0.78059
9.720,108.2627,29.6391,41.026,0.78340
9.740,108.4235,29.8002,40.964,0.78622
9.760,108.5848,29.9627,41.208,0.78903
9.780,108.7456,30.1256,41.208,0.79185
9.800,108.9054,30.2884,41.066,0.79468
9.820,109.0649,30.4518,41.091,0.79750
9.840,109.2240,30.6157,41.130,0.80033
9.860,109.3822,30.7797,41.009,0.80316
9.880,109.5408,30.9449,41.214,0.80599
9.900,109.6975,31.1092,40.875,0.80883
9.920,109.8537,31.2737,40.836,0.81166
9.940,110.0098,31.4392,40.956,0.81450
9.960,110.1646,31.6042,40.715,0.81734
9.980,110.3191,31.7699,40.780,0.82019
10.000,110.4740,31.9369,41.013,0.82304
10.020,110.6288,32.1048,41.094,0.82589
10.040,110.7819,32.2718,40.790,0.82874
10.060,110.9341,32.4387,40.659,0.83159
10.080,111.0867,32.6070,40.881,0.83445
10.100,111.2389,32.7759,40.935,0.83731
10.120,111.3907,32.9453,40.933,0.84017
10.140,111.5422,33.1154,41.012,0.84303
10.160,111.6938,33.2865,41.142,0.84590
10.180,111.8444,33.4575,41.014,0.84876
10.200,111.9943,33.6287,40.962,0.85163
10.220,112.1438,33.8005,40.988,0.85450
10.240,112.2925,33.9722,40.890,0.85738
10.260,112.4405,34.1443,40.866,0.86025
10.280,112.5890,34.3178,41.100,0.86313
10.300,112.7363,34.4910,40.925,0.86601
10.320,112.8843,34.6661,41.272,0.86890
10.340,113.0331,34.8431,41.610,0.87178
10.360,113.1802,35.0192,41.302,0.87467
10.380,113.3267,35.1955,41.277,0.87756
10.400,113.4730,35.3726,41.338,0.88045
10.420,113.6182,35.5495,41.201,0.88334
10.440,113.7625,35.7263,41.068,0.88623
10.460,113.9061,35.9032,41.025,0.88913
10.480,114.0497,36.0812,41.158,0.89203
10.500,114.1924,36.2592,41.066,0.89493
10.520,114.3357,36.4390,41.395,0.89783
10.540,114.4787,36.6195,41.447,0.90074
10.560,114.6212,36.8003,41.429,0.90364
10.580,114.7639,36.9827,41.690,0.90655
10.600,114.9066,37.1660,41.802,0.90946
10.620,115.0489,37.3500,41.869,0.91237
10.640,115.1905,37.5341,41.809,0.91528
10.660,115.3326,37.7201,42.136,0.91820
10.680,115.4747,37.9071,42.282,0.92112
10.700,115.6162,38.0944,42.245,0.92404
10.720,115.7561,38.2809,41.961,0.92696
10.740,115.8957,38.4680,42.028,0.92988
10.760,116.0341,38.6547,41.823,0.93280
10.780,116.1709,38.8403,41.514,0.93573
10.800,116.3070,39.0262,41.464,0.93866
10.820,116.4427,39.2126,41.514,0.94158
10.840,116.5787,39.4005,41.745,0.94451
10.860,116.7142,39.5891,41.796,0.94745
10.880,116.8497,39.7786,41.941,0.95038
10.900,116.9839,39.9676,41.720,0.95332
10.920,117.1175,40.1570,41.716,0.95625
10.940,117.2507,40.3468,41.739,0.95919
10.960,117.3837,40.5378,41.894,0.96213
10.980,117.5163,40.7292,41.915,0.96507
11.000,117.6488,40.9217,42.059,0.96801
11.020,117.7804,41.1141,41.969,0.97096
11.040,117.9117,41.3073,42.033,0.97390
11.060,118.0426,41.5011,42.108,0.97685
11.080,118.1722,41.6944,41.883,0.97980
11.100,118.3014,41.8881,41.914,0.98275
11.120,118.4298,42.0820,41.857,0.98570
11.140,118.5566,42.2746,41.514,0.98865
11.160,118.6834,42.4684,41.687,0.99161
11.180,118.8094,42.6623,41.621,0.99456
11.200,118.9343,42.8559,41.468,0.99752
11.220,119.0585,43.0495,41.400,1.00047
11.240,119.1822,43.2435,41.425,1.00343
11.260,119.3061,43.4393,41.696,1.00639
11.280,119.4293,43.6352,41.666,1.00935
11.300,119.5523,43.8319,41.751,1.01232
11.320,119.6753,44.0302,41.999,1.01528
11.340,119.7980,44.2292,42.095,1.01825
11.360,119.9208,44.4295,42.287,1.02121
11.380,120.0426,44.6298,42.201,1.02418
11.400,120.1643,44.8311,42.340,1.02715
11.420,120.2853,45.0328,42.330,1.03012
11.440,120.4063,45.2357,42.523,1.03309
11.460,120.5262,45.4381,42.342,1.03606
11.480,120.6451,45.6401,42.202,1.03903
11.500,120.7640,45.8437,42.431,1.04200
11.520,120.8822,46.0474,42.395,1.04498
11.540,120.9997,46.2511,42.331,1.04795
11.560,121.1165,46.4553,42.345,1.05093
11.580,121.2324,46.6592,42.220,1.05391
11.600,121.3484,46.8646,42.460,1.05689
11.620,121.4631,47.0693,42.235,1.05986
11.640,121.5772,47.2742,42.208,1.06284
11.660,121.6908,47.4797,42.271,1.06582
11.680,121.8038,47.6855,42.252,1.06881
11.700,121.9157,47.8909,42.107,1.07179
11.720,122.0266,48.0959,41.951,1.07477
11.740,122.1371,48.3016,42.028,1.07776
11.760,122.2465,48.5067,41.842,1.08074
11.780,122.3556,48.7127,41.959,1.08373
11.800,122.4634,48.9176,41.684,1.08671
11.820,122.5703,49.1224,41.584,1.08970
11.840,122.6766,49.3276,41.591,1.09269
11.860,122.7818,49.5319,41.365,1.09568
11.880,122.8866,49.7372,41.483,1.09866
11.900,122.9908,49.9427,41.480,1.10165
11.920,123.0939,50.1476,41.293,1.10464
11.940,123.1957,50.3515,41.020,1.10764
11.960,123.2962,50.5543,40.738,1.11063
11.980,123.3961,50.7574,40.747,1.11362
12.000,123.4949,50.9598,40.539,1.11661
12.020,123.5925,51.1613,40.293,1.11960
12.040,123.6894,51.3628,40.251,1.12260
12.060,123.7867,51.5667,40.661,1.12559
12.080,123.8835,51.7711,40.711,1.12859
12.100,123.9800,51.9765,40.849,1.13158
